E100	MDS1	MDS2	DP	RC	BT	SA	SP	IC	P	DCA1	DCA2	LAT	LON	SR
7.862959788	-0.486849014	-0.301238625	12.5	2	-1.108	30.0992	2.199881014	292.8	94.7263046	-1.300863	-0.212138	70.27	-146.61	8
7.974987148	-0.769524923	-0.664527159	6	2	-1.1109	29.8816	2.19120124	292	95.5367748	-0.634251	0.021745	70.27	-146.85	9
12.44647906	-0.637284234	0.016409108	22	2	-1.0154	31.4083	2.637698855	307.7	54.7112934	-0.969271	-0.227829	70.82	-150.04	13
14.13298415	-0.598776609	0.230763787	23	2	-1.0154	31.4083	2.637698855	307.7	54.7112934	-0.863143	-0.242523	70.83	-150.2	17
15.13419488	-0.034859171	-0.29341489	17.5	2	-0.8745	30.7309	3.27417203	316	36.79187201	-0.148832	-0.389244	70.96	-150.64	16
20.29394052	-0.050521154	-0.226483514	14.1	2	-1.3396	30.9188	2.248472961	291.7	90.4688632	-0.258603	-0.326817	70.52	-148.17	37
6.69253479	-0.442459486	-0.461283584	5	2	-1.2413	29.7754	2.237993177	287.7	94.6749239	-1.097436	-0.114861	69.68	-141.32	7
17.69536701	-0.07417252	0.028319658	34	2	-1.3563	31.4208	2.134952123	270.9	100.7725201	-0.198051	-0.458308	69.88	-141.15	20
17.12484704	-0.213467577	0.194078135	32	2	-1.3563	31.4208	2.138518714	270.9	102.5794933	-0.392781	-0.118143	69.89	-141.24	21
13.98178018	-0.480884655	0.152491632	30	2	-1.3097	31.4454	2.09403743	272.5	101.9757827	-0.79815	-0.087174	69.82	-141.26	19
15.31708587	-0.318094205	0.046374479	23	2	-1.3021	30.6584	2.082981823	278.1	97.9528357	-0.487705	-0.329575	69.79	-141.37	17
14.88627464	0.067873456	-0.27525306	16.5	2	-1.3021	30.6584	2.240000008	288.5	90.5177704	-0.051844	-0.357476	69.75	-141.44	21
6.245931672	-0.288720621	-0.092400493	4	2	-0.7791	27.4204	2.237993177	287.7	94.6749239	-0.689299	0.062616	69.66	-141.28	8
5.777498122	-0.703383748	-0.220835439	4	2	-0.7791	27.4204	2.418840383	298.9	85.4798148	-1.401381	0.0327	69.66	-141.36	8
17.95751304	-0.321381329	0.093451329	23.5	2	-1.2878	30.4828	2.276854181	286.9	78.3493834	-0.34941	-0.317597	70.06	-142.49	19
11.5892667	0.041626398	-0.48069761	16	2	-1.3095	30.4271	2.242625474	286.9	79.1752907	-0.298058	-0.254191	70.02	-142.52	16
16.58581143	0.141743317	-0.065286613	18	2	-1.1671	30.9923	2.926917816	314.9	35.9447791	0.097156	-0.34219	70.62	-148.13	19
4.77025504	-0.71006407	-0.337890141	20	20	-0.9756	30.6654	2.015441243	282.9	169.9894736	-1.324628	0.324257	69.71	-136.13	5
5.833322722	-0.771249687	-0.205060543	3	20	1.3146	20.4717	1.988472105	282.9	189.8928828	-1.715452	-0.049824	69.62	-135.87	6
1.476190476	-2.026526073	0.496134301	1	20	0.9214	17.7846	2.053688465	289.3	196.924109	-3.023436	-0.090055	69.66	-134.53	2
4.226551703	-0.662013938	-0.341364019	8	20	-0.3284	28.825	2.053428048	285.3	175.2827397	-1.298792	0.295871	69.78	-132.84	6
9.043733861	-0.526282764	-0.254964442	10	20	-0.3284	28.825	1.949003384	274.1	182.4312119	-1.096349	-0.157304	69.91	-132.82	11
4.810535561	-0.878431793	-0.301886484	3	20	1.1103	17.5715	2.031011093	284.5	186.4179736	-1.567239	0.023161	69.78	-132.07	7
8.124079981	-0.520603535	-0.153515894	12	20	0.1418	28.9796	1.970983448	280.5	183.6564742	-1.215477	-0.144418	70.07	-131.2	13
8.159204556	-0.270994516	-0.799579719	8	20	-0.015	29.5247	2.064353902	288.5	152.2237317	-1.123882	0.159012	70.26	-130.08	10
13.58851966	-0.643409378	0.446086107	20	20	-0.9488	31.5945	1.65719544	237.6	153.1801296	-0.448793	-0.799296	70.5	-130.18	15
8.725601184	-0.324222278	-0.544417531	13	20	-0.0589	29.8512	2.077463256	285.2	149.5721071	-1.092282	-0.010921	70.41	-128.79	14
11.20628429	1.129546888	-1.146674793	64	19	0.5555	34.657	1.733018486	224.8	65.8300524	1.945933	0.187307	75.19	22.23	16
16.95666239	0.829732997	-0.3544845	30	19	-0.63	34.85	2.516128799	288.4	22.31869708	1.446487	0.547341	79.95	50.02	19
22.78895933	1.104946712	0.124220711	15	8	-1.44	34.74	2.339667302	290	18.66308908	1.578815	0.002755	76.22	62.67	33
7.945891014	-0.48894663	-0.700133241	2.5	2	-0.165	27.4763	3.27791681	320.8	52.5423131	-0.812076	1.237756	70.16	-146.09	11
9.66667286	-0.288717489	-0.613991277	3	2	-0.1329	27.2346	2.681719718	312	61.5299886	-0.86015	0.041933	70.19	-146.38	14
8.641374726	-0.331011583	-0.430083636	4.5	2	-0.1175	26.9942	2.519874437	306.4	87.7482266	-0.944447	-0.029653	70.13	-146.66	11
14.46064603	-0.325005426	-0.334855058	5.5	2	-1.1964	29.959	2.18414189	295.2	101.2618247	-0.900615	-0.046457	70.13	-147.03	16
11.87863663	-0.200477602	-0.276393861	5	2	-1.1964	29.959	2.166990104	292.8	99.5362499	-0.601647	-0.150898	70.29	-147.03	17
9.853374231	-0.16497344	-0.329910484	7	2	-1.3206	30.6793	2.130342981	291.2	107.519268	-0.47119	-0.143663	70.28	-147.36	16
7.727236352	-0.387859877	-0.44303025	3	2	-0.5557	27.502	2.133573527	292	111.4090654	-0.989544	-0.011902	70.22	-147.54	8
15.66565078	-0.004124063	-0.321105497	7.1	2	-1.3206	30.6793	2.143098641	289.3	97.5712274	-0.184796	-0.225706	70.36	-147.5	27
11.89448321	-0.0279253	-0.345591538	8	2	-1.37	31.16	2.274951586	298	79.5032715	-0.193657	-0.312772	70.47	-148.4	21
14.66830919	-0.266942459	-0.194783527	3	2	-0.8446	28.8257	2.186201001	290.9	131.108669	-0.629978	-0.395979	70.62	-150.48	16
12.25394573	-0.333975962	-0.136219094	19	2	-1.0914	30.7016	2.390846343	293.3	65.3396752	-0.715116	-0.287477	70.24	-146.03	16
8.342910552	-0.197355563	-0.65439974	17.2	2	-1.1	30.87	3.108145321	312.8	35.38498321	-0.789708	-0.162747	70.98	-150.72	9
2.890519033	-0.733301247	-1.216092293	14	2	-1.04	30.13	3.53033529	325.2	17.9295739	-1.421204	0.184506	70.99	-150.79	3
5.342011722	-0.425277439	-0.501209709	3.2	2	-0.6644	29.2743	2.337744589	298.4	134.4428241	-1.039087	0.145911	70.7	-152.33	8
5.536775361	-0.390138028	-0.585626382	16	2	-0.6999	30.5374	2.892046513	310.1	54.46143	-1.120711	0.272651	71	-151.35	6
11.04775585	0.015353321	-0.628480077	13	2	-1.0814	31.2584	2.186201001	290.9	131.108669	-0.202348	-0.453294	70.61	-150.41	14
15.39317049	-0.277071221	-0.149291075	21	2	-1.2173	31.4632	2.625884861	304.5	63.129175	-0.706919	-0.185452	70.71	-149.27	18
16.90799016	1.204884802	-0.75805454	25	25	-0.4763	32.8659	1.738464515	247.6	37.95881295	2.189112	-0.104379	66.09	-84.99	18
18.64585724	1.350291646	-0.19421167	26	26	0.2461	32.8149	2.343413641	290.9	26.5749066	1.771691	-0.274104	66.22	-83.58	25
17.25652542	1.407485266	-0.239417941	26	26	-0.4763	32.8659	2.045304481	278	27.26359534	1.829359	-0.349459	66.13	-84.63	26
15.60178604	1.238759494	-0.208679603	26	23	-0.4763	32.8659	2.045304481	278	27.26359534	1.709664	-0.391575	66.13	-84.63	19
18.25216732	1.434689239	-0.000271761	26	21	-0.0901	32.8452	2.435538882	295.7	29.25592181	1.919293	-0.151804	66.12	-83.7	23
17.41142621	1.310293201	-0.041985721	50	21	-0.09	32.85	2.435538882	295.7	29.25592181	1.855951	-0.239793	66.12	-83.7	24
12.70938737	1.062819196	-0.277323575	26	23	-0.4763	32.8659	2.077752232	278.8	27.04362311	1.241538	-0.811475	66.13	-84.59	18
17.77247253	1.397439627	0.10384888	30	32	-1.0229	33.343	2.000439341	270.8	52.3811486	1.727325	-0.037695	76.46	-70.21	23
18.78246904	1.318463217	-0.358196148	31	28	-0.9896	33.3313	3.045202805	311.6	31.9469205	1.773383	-0.452898	76.55	-68.9	22
22.81518747	0.667144478	0.520599023	200	24	-0.1835	34.4235	4.241858072	339.6	8.64905248	0.902937	0.310862	75.33	-19	29
20.21994569	0.618772689	-0.188623502	97.5	30	-0.1727	34.4474	3.156631658	320.4	21.4465063	0.840603	-0.242104	74.08	-20.74	21
17.66019791	1.241343515	-0.359487712	34	28	-0.9896	33.3313	3.059069903	312.4	31.7556896	1.76752	-0.295738	76.56	-68.9	22
13.26040141	0.763080613	-0.708971202	25	27	-0.0773	31.8811	2.718144983	310.9	22.52291963	1.844639	-0.365896	69.37	-81.8	14
6.883993247	1.941870164	-0.327785291	11	31	1.1488	31.8918	1.323587545	172.4	79.46495359	2.936689	0.202341	60.83	-46.8	7
4.797520661	1.830784889	-1.194386528	6	31	1.0129	32.9878	6.734781851	364.4	0.4781088	3.486407	0.316516	60.97	-46.53	5
5.395581978	1.841134969	-0.906791056	8	31	1.0129	32.9878	6.734781851	364.4	0.4781088	3.113619	0.087705	60.97	-46.53	7
11.73204843	-0.008817443	0.453823715	49	8	-1.09	33.5	2.939239447	306	70.09469114	0.06751	-0.669472	74.83	83.43	12
12.60139413	0.523760052	0.467201489	55	8	-1.31	34	3.33177814	330.8	26.6303957	0.434876	-0.30833	76.66	83.88	13
12.23716207	0.506879328	0.588598144	73	8	-1.38	34.2	3.581982717	326	22.7716655	0.415785	-0.212831	76.94	85.76	13
11.99084778	0.011660638	0.47308781	48	8	-1.23	33.71	3.985762094	336.4	33.0026802	0.112673	-0.45043	75.46	82.55	15
9.577959834	0.631635178	0.31512328	27	8	-1.56	32.1	2.710931036	304.4	112.219159	0.469603	-0.771505	74.5	74	10
7.659758875	-0.620038109	0.911880562	37	8	-1.54	33	2.118677121	281.2	155.3659298	0.082097	-0.308496	74	80.01	10
8.92081448	-0.670074169	1.259259451	41	8	-1.56	32.1	1.970257924	273.2	179.9169224	-0.171204	-0.403362	73.77	79.99	9
9.656285053	0.214041774	0.487583367	26	8	-1.59	32	2.282533102	294.8	156.9287739	0.068177	-0.999039	74	74	10
6.960054008	0.307205562	0.176677788	23	8	-1.59	29.5	1.832387628	256.4	198.8554404	0.056118	-0.105273	73.42	78.81	8
15.76439041	1.377130212	0.231275529	36	8	-1.21	33.93	3.101131654	310	36.2816713	1.921477	0.219081	74.36	59.48	18
9.738459397	-0.128935554	0.274167433	66	9	-1.65	33.78	4.162063135	342	17.4666126	-0.327232	0.361078	77.6	132.27	11
13.74479357	-0.008631339	0.842546607	76	9	-1.65	34.11	3.646346286	344.4	11.4854105	0.098447	1.130567	77.83	132.23	14
15.32109613	-0.065332227	0.484133646	276.4	9	1.18	34.7	3.776789737	348.4	10.3991295	-0.011518	0.860682	77.28	120.06	17
18.0506336	0.014685256	0.937575147	68	9	-1.31	33.48	4.323491587	346	9.3315084	-0.029513	1.157294	76.95	118.59	19
12.87352819	-0.198318133	0.340133658	61.6	9	-1.57	33.68	3.664409053	343.6	12.72572387	-0.316269	0.677512	76.77	116.05	15
7.177822014	0.924102737	1.266462754	265	8	1.8034	34.9475	5.666383863	352.4	3.35833062	0.622251	2.168583	81.46	97.57	8
18.12850868	1.292756675	0.028786247	55	22	1.6327	32.715	1.439448049	227.6	131.2468465	1.62937	-0.237041	65.99	-168.46	23
12.33095567	0.782077031	1.459444439	265	8	1.8034	34.9475	5.666383863	352.4	3.35833062	0.613858	2.685447	81.46	97.57	18
10.71954545	0.694104086	-0.481657868	30	24	2.469	34.0594	1.634639407	204.1	45.31568226	0.768617	-0.456289	65.58	-37.18	14
16.22061101	-0.334374645	0.368023922	66	20	-1.4641	32.3987	1.711348837	241.3	199.0925835	-0.178129	-0.692784	70	-137.33	22
16.54410153	0.514854678	0.168219808	115	20	-1.4895	33.0023	1.884784874	259.7	162.0481322	0.549303	-0.479857	70.08	-137.83	20
19.66636605	0.149918889	0.046849698	66	20	-1.4545	32.4005	1.806340788	248.5	184.981947	0.234017	-0.670986	70.08	-137.55	27
27.97321008	0.335566604	-0.019250111	128	20	-1.5009	33.0017	1.642004491	227.7	220.9444837	0.350883	-0.389852	69.6	-138.2	30
8.095053161	-0.868013468	0.007420917	22	20	-1.0055	30.8415	1.681154581	241.3	229.5327834	-1.34831	-0.1533	69.75	-136.65	9
7.657903966	-1.006973629	0.062138172	43	20	-1.02	31.54	1.698270816	241.2	171.1571988	-1.414073	-0.335043	69.92	-137.1	10
7.834275033	-0.950146615	0.083766446	22	20	-0.9513	30.6668	1.672503547	238.1	200.3442656	-1.34332	-0.391407	69.97	-135.79	11
11.84130849	0.360813901	0.560123082	78	20	-1.4573	32.4467	2.309886127	279.2	53.02152358	0.042026	-0.697181	70.84	-133.89	13
7.170695475	-0.874059532	-0.029752057	14	20	-0.5336	28.3957	1.793086279	253.3	194.4124629	-1.388182	-0.41281	69.97	-134.74	10
16.32323847	0.608573227	-0.044727348	67	20	-1.454	32.4103	2.232268977	282.4	124.7385967	0.538512	-1.133284	70.4	-136.6	17
5.053635009	-0.813898266	-0.181879728	22	20	-0.9224	30.6901	1.926095581	274.1	189.400372	-1.45498	0.224013	69.79	-135.52	7
15.35297728	-0.452793805	0.302098426	19.5	2	-0.7921	31.5669	1.954941028	264.4	105.0486049	-0.426611	-0.374363	70.67	-128.53	23
8.918846546	-0.970599732	0.462956095	18.7	20	-0.8365	31.6113	2.030721925	272	134.0074646	-0.990811	-0.605052	70.58	-129.41	16
11.71941222	0.321661621	1.489683688	132	8	-1.4558	34.4509	4.126549911	343.6	14.05504895	0.275853	1.978508	77.89	101.59	13
11.86139971	0.5985446	1.5697855	191	9	1.6702	34.8071	4.018648715	339.6	17.33868097	0.314211	1.916359	78.07	133.61	12
9.69047153	0.004404283	1.020964429	73	9	-1.6457	33.8777	3.637930357	338	21.0788793	0.174741	0.41923	77.91	133.56	10
16.468041	0.318411865	1.023234393	92	29	-1.4611	34.1968	2.861213184	338.8	24.8181758	0.316615	1.069346	77.03	126.41	19
11.6264136	0.137808636	1.273268773	193	9	0.4803	34.7265	3.688037365	338.8	16.346522	0.115894	1.531342	77.25	118.55	12
18.91507205	0.035887778	1.020879817	101	9	-1.4394	34.2074	3.880521956	342	15.5135833	0.021041	1.122772	77.17	118.71	20
13.66318579	0.253687634	1.306224016	235	9	0.77	34.87	3.635324149	339.6	13.28444625	0.027554	2.00733	78.58	111.39	14
3.333332959	-1.07554293	-0.20119891	7	20	-0.2807	28.808	2.047182087	285.3	182.6045566	-1.693962	-0.20589	69.77	-132.7	4
11.5715296	-0.693901815	0.93113673	51.45	22	-1.43	32.48	2.700733808	315.6	17.0670194	-0.089943	-0.57133	71.21	-168.34	12
6.056334429	1.85807796	0.170997911	145	20	6.7699	35.0945	1.39238745	181.3	116.5138656	1.35823	-0.0287	68.24	11.16	9
3.472108045	1.84367632	1.122134103	188.5	19	6.8526	35.152	1.336721775	176.5	120.123644	1.05254	2.44455	67.6	10.55	4
15.61099194	1.88534027	0.484282993	184	20	6.7863	35.0169	1.300903495	184.4	134.9629425	1.81398	0.30953	69.82	17.63	23
9.716962169	1.54902623	0.618914692	136	20	6.6548	34.929	1.342420344	178.1	118.4672485	1.23591	0.28506	68.78	13.05	16
11.90428484	1.67880501	0.310479733	190	20	5.68	35.11	1.407110293	201.2	112.4964611	1.42653	-0.07066	70.48	17.45	20
3.859876567	1.51165286	1.164977377	120	20	6.7964	34.6518	1.207628845	174.9	114.9639332	0.88876	2.72946	67.4	12.72	6
4.430578447	1.204292	1.048409433	120	20	6.9129	34.7193	1.220220867	172.5	121.1569215	0.87873	2.25317	67.15	12.17	7
5.168809362	0.92164466	-2.486183582	77	21	7.3445	32.1854	1.15127158	137.2	223.8269285	5.36425	0.04654	59.08	-138.67	6
5.689360448	0.43343879	-1.965319273	132	21	5.6378	32.9268	1.116450169	132.4	201.8551112	4.58132	0.16794	59.56	-141.42	6
7.754385965	0.5415787	-2.086193995	104	21	6.0405	32.4985	1.113992132	131.6	212.347647	4.47794	-0.33005	59.46	-139.84	8
